Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
I0.TP4:mvth0, 0.0296526, 0.015241, -0.0440642
I0.TP5:mbeta, 0.0123476, 0.0140824, 0.0106127
I0.TP5:mvth0, 0.0217203, -0.000413901, -0.0430267
I0.TP6:mbeta, 0.0551038, 0.0628064, -0.0474013
I0.TP6:mvth0, 0.257228, -0.403021, 0.111435
I0.TP7:mbeta, 0.0229564, -0.0376709, 0.00824201
I0.TP7:mvth0, 0.0560938, -0.0549245, -0.0572631
I0.TP8:mbeta, 0.0351156, 0.0255863, -0.044645
I0.TP8:mvth0, 0.112601, 0.221045, -0.00415646

Output Normalized Regression
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.00304697, -0.00494907, 0.00114486
I0.C3:mmcap, 0.0102121, 0.0168079, -0.00361623
I0.C4:mmcap, 0.00406714, -0.00679744, -0.00133683
I0.TN0:mbeta, 0.0111126, 0.0184699, -0.00375523
I0.TN0:mvth0, 0.0045741, -0.000288167, 0.00886002
I0.TN13:mbeta, 0.00875099, -0.013954, -0.003548
I0.TN13:mvth0, 0.00233432, -6.46941e-05, -0.00460394
I0.TN14:mbeta, 0.0108968, -0.00232662, -0.019467
I0.TN14:mvth0, 0.0065496, -0.00957955, 0.00351966
I0.TN15:mbeta, 0.00257754, 0.000447306, -0.00470778
I0.TN15:mvth0, 0.0193462, 0.0268774, 0.011815
I0.TN16:mbeta, 0.00232159, 0.00217423, 0.00246896
I0.TN16:mvth0, 0.00174817, 0.00258904, -0.000907305
I0.TN3:mbeta, 0.00511717, -0.00683471, -0.00339962
I0.TN3:mvth0, 0.0399121, 0.0652828, -0.0145413
I0.TN4:mbeta, 0.00528264, -0.00551053, -0.00505475
I0.TN4:mvth0, 0.0175082, -0.00663971, 0.0283768
I0.TN5:mbeta, 0.00644579, 0.00215791, -0.0107337
I0.TN5:mvth0, 0.0325588, -0.0650768, -4.07036e-05
I0.TP10:mbeta, 0.00324285, 0.00199296, -0.00449275
I0.TP10:mvth0, 0.00706036, 0.0102158, -0.00390489
I0.TP1:mbeta, 0.00808121, 0.0115181, -0.00464431
I0.TP1:mvth0, 0.00780791, -0.0151089, 0.000506914
I0.TP2:mbeta, 0.0158676, 0.010795, -0.0209401
I0.TP2:mvth0, 0.00311358, 0.00560856, -0.0006186
I0.TP3:mbeta, 0.00795276, -0.00904234, -0.00686318
I0.TP3:mvth0, 0.0180855, -0.0177599, 0.0184112
I0.TP4:mbeta, 0.011355, -0.00590236, -0.0168077
I0.TP4:mvth0, 0.00750078, 0.00385885, -0.0111427
I0.TP5:mbeta, 0.00294875, 0.00336484, 0.00253267
I0.TP5:mvth0, 0.00527103, -0.000100568, -0.0104415
I0.TP6:mbeta, 0.0135491, 0.0154512, -0.0116469
I0.TP6:mvth0, 0.0619067, -0.0970205, 0.0267929
I0.TP7:mbeta, 0.00553704, -0.00908815, 0.00198593
I0.TP7:mvth0, 0.0154154, -0.0151036, -0.0157272
I0.TP8:mbeta, 0.00833461, 0.00607763, -0.0105916
I0.TP8:mvth0, 0.0284, 0.0557529, -0.00104706

Input Output Normalized Regression
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.00106754, -0.00173396, 0.000401113
I0.C3:mmcap, 0.00340027, 0.00559646, -0.00120408
I0.C4:mmcap, 0.00140555, -0.00234911, -0.000461991
I0.TN0:mbeta, 0.00388009, 0.00644899, -0.00131118
I0.TN0:mvth0, 0.00154786, -9.75149e-05, 0.00299821
I0.TN13:mbeta, 0.00299001, -0.00476774, -0.00121227
I0.TN13:mvth0, 0.000788646, -2.18568e-05, -0.00155544
I0.TN14:mbeta, 0.00340165, -0.0007263, -0.00607699
I0.TN14:mvth0, 0.00233529, -0.00341563, 0.00125495
I0.TN15:mbeta, 0.000906597, 0.000157331, -0.00165586
I0.TN15:mvth0, 0.00618211, 0.00858871, 0.0037755
I0.TN16:mbeta, 0.000805807, 0.000754658, 0.000856957
I0.TN16:mvth0, 0.000601458, 0.000890758, -0.000312157
I0.TN3:mbeta, 0.0017431, -0.00232816, -0.00115804
I0.TN3:mvth0, 0.0125844, 0.0205839, -0.00458492
I0.TN4:mbeta, 0.0018649, -0.00194536, -0.00178445
I0.TN4:mvth0, 0.00593925, -0.00225236, 0.00962613
I0.TN5:mbeta, 0.00198435, 0.000664316, -0.00330439
I0.TN5:mvth0, 0.0112635, -0.022513, -1.40812e-05
I0.TP10:mbeta, 0.00107493, 0.000660618, -0.00148924
I0.TP10:mvth0, 0.00227865, 0.00329704, -0.00126026
I0.TP1:mbeta, 0.00266903, 0.00380416, -0.0015339
I0.TP1:mvth0, 0.0023866, -0.00461826, 0.000154946
I0.TP2:mbeta, 0.00510848, 0.0034754, -0.00674156
I0.TP2:mvth0, 0.00102603, 0.00184822, -0.00020385
I0.TP3:mbeta, 0.00260828, -0.00296564, -0.00225093
I0.TP3:mvth0, 0.00578374, -0.00567961, 0.00588787
I0.TP4:mbeta, 0.00389889, -0.00202665, -0.00577113
I0.TP4:mvth0, 0.00244939, 0.00126011, -0.00363866
I0.TP5:mbeta, 0.00102034, 0.00116431, 0.000876362
I0.TP5:mvth0, 0.00179361, -3.42208e-05, -0.00355299
I0.TP6:mbeta, 0.00455349, 0.00519276, -0.00391423
I0.TP6:mvth0, 0.0212616, -0.0333213, 0.0092019
I0.TP7:mbeta, 0.00189759, -0.00311458, 0.000680595
I0.TP7:mvth0, 0.00463484, -0.00454109, -0.00472858
I0.TP8:mbeta, 0.00290103, 0.00211544, -0.00368662
I0.TP8:mvth0, 0.00930946, 0.0182757, -0.000343225

MultiVariate Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.05493, 0.0367853, 0.0730747
I0.C3:mmcap, 0.0461257, 0.0599004, -0.032351
I0.C4:mmcap, 0.034314, 0.00900983, -0.0596181
I0.TN0:mbeta, 0.0333803, 0.0640209, 0.00273965
I0.TN0:mvth0, 0.0612833, -0.0687893, 0.0537774
I0.TN13:mbeta, 0.0241395, 0.0327046, -0.0155745
I0.TN13:mvth0, 0.0566845, -0.0498395, -0.0635294
I0.TN14:mbeta, 0.170041, -0.0634034, -0.276678
I0.TN14:mvth0, 0.0962309, -0.150043, 0.0424192
I0.TN15:mbeta, 0.0344339, -0.0223915, 0.0464762
I0.TN15:mvth0, 0.178217, 0.112025, 0.244409
I0.TN16:mbeta, 0.0361395, -0.0575875, -0.0146915
I0.TN16:mvth0, 0.0614167, -0.101094, 0.0217396
I0.TN3:mbeta, 0.107641, -0.0928591, -0.122423
I0.TN3:mvth0, 0.47652, 0.735267, -0.217773
I0.TN4:mbeta, 0.0325642, 0.000718207, -0.0644102
I0.TN4:mvth0, 0.199211, 0.0442131, 0.354209
I0.TN5:mbeta, 0.120727, -0.0407033, -0.20075
I0.TN5:mvth0, 0.427246, -0.839007, -0.0154854
