abs(i("/TP0/D" ?result "dc")) (sm=0.1) X,abs(i("/TP0/D" ?result "dc")) (sm=0.1) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.2) X,abs(i("/TP0/D" ?result "dc")) (sm=0.2) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.3) X,abs(i("/TP0/D" ?result "dc")) (sm=0.3) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.4) X,abs(i("/TP0/D" ?result "dc")) (sm=0.4) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.5) X,abs(i("/TP0/D" ?result "dc")) (sm=0.5) Y
-0.1999999999999999,1.30375892840605e-09,-0.1999999999999999,1.27258581927088e-08,-0.1999999999999999,1.009530200119728e-07,-0.1999999999999999,4.502836745555694e-07,-0.1999999999999999,1.217872099167413e-06
-0.1499999999999999,2.732780139809066e-10,-0.1499999999999999,2.739074080145054e-09,-0.1499999999999999,2.598369128800459e-08,-0.1499999999999999,1.677048245584113e-07,-0.1499999999999999,6.087259312122897e-07
-0.09999999999999991,5.636187006332622e-11,-0.09999999999999991,5.673498470394632e-10,-0.09999999999999991,5.703010889069003e-09,-0.09999999999999991,4.766709340371721e-08,-0.09999999999999991,2.47461857346578e-07
-0.04999999999999991,1.049379147037596e-11,-0.04999999999999991,1.055371777034009e-10,-0.04999999999999991,1.07510699833816e-09,-0.04999999999999991,1.000422092938006e-08,-0.04999999999999991,7.044265238813052e-08
0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16
0.05,3.132888719375438e-12,0.05,3.137883005902939e-11,0.05,3.200858007210102e-10,0.05,3.090141560389508e-09,0.05,2.619976342103453e-08
0.1,5.024331677945432e-12,0.1,5.021137185754448e-11,0.1,5.115341432959001e-10,0.1,4.939247239891658e-09,0.1,4.144302993676717e-08
0.15,7.277191209130791e-12,0.15,7.256322754216289e-11,0.15,7.380848093741866e-10,0.15,7.108375801937228e-09,0.15,5.802555227096878e-08
0.2,1.039731459088603e-11,0.2,1.03440021257517e-10,0.2,1.050211221494527e-09,0.2,1.006503416288038e-08,0.2,7.914264694323549e-08
0.25,1.477938080000293e-11,0.25,1.466951533457114e-10,0.25,1.486111343163397e-09,0.25,1.413423545102299e-08,0.25,1.061277301260472e-07
0.3,2.093076923184466e-11,0.3,2.072558959164544e-10,0.3,2.094067718845868e-09,0.3,1.969723274699244e-08,0.3,1.400781488196112e-07
0.35,2.954928086175422e-11,0.35,2.918721270778673e-10,0.35,2.939411291363026e-09,0.35,2.722876021876426e-08,0.35,1.82052930426169e-07
0.4,4.160015169604713e-11,0.4,4.098417944133772e-10,0.4,4.110715168578234e-09,0.4,3.730926230444474e-08,0.4,2.330776838745216e-07
0.45,5.84176393922957e-11,0.45,5.739569328881069e-10,0.45,5.727305405864665e-09,0.45,5.062712241941951e-08,0.45,2.94129427892328e-07
0.4999999999999999,8.18434478072885e-11,0.4999999999999999,8.017776224335503e-10,0.4999999999999999,7.948499406285373e-09,0.4999999999999999,6.797103091467971e-08,0.4999999999999999,3.661247171124069e-07
0.5499999999999999,1.144158188038491e-10,0.5499999999999999,1.117346819357821e-09,0.5499999999999999,1.098459432034076e-08,0.5499999999999999,9.021255412569293e-08,0.5499999999999999,4.49913632891092e-07
0.6,1.596275508791821e-10,0.6,1.553486104141733e-09,0.6,1.510924789573205e-08,0.6,1.18281103933698e-07,0.6,5.462785900899333e-07
0.65,2.222774602014555e-10,0.65,2.154845544914353e-09,0.65,2.067235064032289e-08,0.65,1.531353585520669e-07,0.65,6.559363836801463e-07
0.7,3.089481608498934e-10,0.7,2.981914309688557e-09,0.7,2.811180785000823e-08,0.7,1.957356667172673e-07,0.7,7.795421333150663e-07
