/TP0/D (Vc=0.9) X,/TP0/D (Vc=0.9) Y,/TP0/D (Vc=1.014286) X,/TP0/D (Vc=1.014286) Y,/TP0/D (Vc=1.128571) X,/TP0/D (Vc=1.128571) Y,/TP0/D (Vc=1.242857) X,/TP0/D (Vc=1.242857) Y,/TP0/D (Vc=1.357143) X,/TP0/D (Vc=1.357143) Y,/TP0/D (Vc=1.471429) X,/TP0/D (Vc=1.471429) Y,/TP0/D (Vc=1.585714) X,/TP0/D (Vc=1.585714) Y,/TP0/D (Vc=1.7) X,/TP0/D (Vc=1.7) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.7)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.7)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 0.9)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 0.9)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.1)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.1)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.2)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.2)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.3)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.3)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.4)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.4)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.6)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.6)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.0)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.0)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.5)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.5)) Y
-0.4199999999999997,3.812146097201621e-09,-0.4199999999999997,1.367492139318489e-08,-0.4199999999999997,4.595108133455681e-08,-0.4199999999999997,1.34101168684382e-07,-0.4199999999999997,3.249385014710996e-07,-0.4199999999999997,6.655988366301083e-07,-0.4199999999999997,1.201326376883967e-06,-0.4199999999999997,1.980682117379191e-06,-0.4199999999999997,1.980682117379191e-06,-0.4199999999999997,3.812146097201621e-09,-0.4199999999999997,1.367492139318489e-08,-0.4199999999999997,4.595108133455681e-08,-0.4199999999999997,1.34101168684382e-07,-0.4199999999999997,3.249385014710996e-07,-0.4199999999999997,1.201326376883967e-06,-0.4199999999999997,3.812146097201621e-09,-0.4199999999999997,6.655988366301083e-07
-0.3919999999999997,2.766324739187053e-09,-0.3919999999999997,9.999077615206515e-09,-0.3919999999999997,3.435703461050337e-08,-0.3919999999999997,1.044636338209053e-07,-0.3919999999999997,2.650056701748754e-07,-0.3919999999999997,5.636565064983034e-07,-0.3919999999999997,1.045694127898731e-06,-0.3919999999999997,1.758218401709912e-06,-0.3919999999999997,1.758218401709912e-06,-0.3919999999999997,2.766324739187053e-09,-0.3919999999999997,9.999077615206515e-09,-0.3919999999999997,3.435703461050337e-08,-0.3919999999999997,1.044636338209053e-07,-0.3919999999999997,2.650056701748754e-07,-0.3919999999999997,1.045694127898731e-06,-0.3919999999999997,2.766324739187053e-09,-0.3919999999999997,5.636565064983034e-07
-0.3639999999999997,2.005669263635175e-09,-0.3639999999999997,7.290091564646512e-09,-0.3639999999999997,2.549848252844689e-08,-0.3639999999999997,8.045654675497868e-08,-0.3639999999999997,2.137667817146755e-07,-0.3639999999999997,4.732824757958136e-07,-0.3639999999999997,9.045987917585956e-07,-0.3639999999999997,1.5537315511555e-06,-0.3639999999999997,1.5537315511555e-06,-0.3639999999999997,2.005669263635175e-09,-0.3639999999999997,7.290091564646512e-09,-0.3639999999999997,2.549848252844689e-08,-0.3639999999999997,8.045654675497868e-08,-0.3639999999999997,2.137667817146755e-07,-0.3639999999999997,9.045987917585956e-07,-0.3639999999999997,2.005669263635175e-09,-0.3639999999999997,4.732824757958136e-07
-0.3359999999999996,1.453211649435195e-09,-0.3359999999999996,5.303308529112294e-09,-0.3359999999999996,1.880793433141033e-08,-0.3359999999999996,6.130321346810422e-08,-0.3359999999999996,1.704791923730585e-07,-0.3359999999999996,3.937706009931017e-07,-0.3359999999999996,7.772796650177044e-07,-0.3359999999999996,1.366305297492533e-06,-0.3359999999999996,1.366305297492533e-06,-0.3359999999999996,1.453211649435195e-09,-0.3359999999999996,5.303308529112294e-09,-0.3359999999999996,1.880793433141033e-08,-0.3359999999999996,6.130321346810422e-08,-0.3359999999999996,1.704791923730585e-07,-0.3359999999999996,7.772796650177044e-07,-0.3359999999999996,1.453211649435195e-09,-0.3359999999999996,3.937706009931017e-07
-0.3079999999999996,1.052382110431127e-09,-0.3079999999999996,3.851548321145645e-09,-0.3079999999999996,1.38041446212635e-08,-0.3079999999999996,4.625029137643535e-08,-0.3079999999999996,1.343822342940506e-07,-0.3079999999999996,3.244120855857669e-07,-0.3079999999999996,6.629976711990826e-07,-0.3079999999999996,1.195070916275916e-06,-0.3079999999999996,1.195070916275916e-06,-0.3079999999999996,1.052382110431127e-09,-0.3079999999999996,3.851548321145645e-09,-0.3079999999999996,1.38041446212635e-08,-0.3079999999999996,4.625029137643535e-08,-0.3079999999999996,1.343822342940506e-07,-0.3079999999999996,6.629976711990826e-07,-0.3079999999999996,1.052382110431127e-09,-0.3079999999999996,3.244120855857669e-07
-0.2799999999999996,7.617837260161673e-10,-0.2799999999999996,2.793653220042591e-09,-0.2799999999999996,1.009183946192554e-08,-0.2799999999999996,3.458850140629073e-08,-0.2799999999999996,1.047000741577258e-07,-0.2799999999999996,2.644896120718036e-07,-0.2799999999999996,5.610291471176021e-07,-0.2799999999999996,1.039199499091318e-06,-0.2799999999999996,1.039199499091318e-06,-0.2799999999999996,7.617837260161673e-10,-0.2799999999999996,2.793653220042591e-09,-0.2799999999999996,1.009183946192554e-08,-0.2799999999999996,3.458850140629073e-08,-0.2799999999999996,1.047000741577258e-07,-0.2799999999999996,5.610291471176021e-07,-0.2799999999999996,7.617837260161673e-10,-0.2799999999999996,2.644896120718036e-07
-0.2519999999999996,5.512182500613873e-10,-0.2519999999999996,2.024337378704494e-09,-0.2519999999999996,7.355269696032104e-09,-0.2519999999999996,2.567215026151619e-08,-0.2519999999999996,8.064959979171951e-08,-0.2519999999999996,2.132722813842178e-07,-0.2519999999999996,4.706594998966759e-07,-0.2519999999999996,8.978948559108862e-07,-0.2519999999999996,8.978948559108862e-07,-0.2519999999999996,5.512182500613873e-10,-0.2519999999999996,2.024337378704494e-09,-0.2519999999999996,7.355269696032104e-09,-0.2519999999999996,2.567215026151619e-08,-0.2519999999999996,8.064959979171951e-08,-0.2519999999999996,4.706594998966759e-07,-0.2519999999999996,5.512182500613873e-10,-0.2519999999999996,2.132722813842178e-07
-0.2239999999999996,3.987064816441087e-10,-0.2239999999999996,1.465717057346055e-09,-0.2239999999999996,5.347999098408087e-09,-0.2239999999999996,1.893377666611174e-08,-0.2239999999999996,6.145379710587498e-08,-0.2239999999999996,1.700121476228197e-07,-0.2239999999999996,3.911767150208871e-07,-0.2239999999999996,7.703863477934452e-07,-0.2239999999999996,7.703863477934452e-07,-0.2239999999999996,3.987064816441087e-10,-0.2239999999999996,1.465717057346055e-09,-0.2239999999999996,5.347999098408087e-09,-0.2239999999999996,1.893377666611174e-08,-0.2239999999999996,6.145379710587498e-08,-0.2239999999999996,3.911767150208871e-07,-0.2239999999999996,3.987064816441087e-10,-0.2239999999999996,1.700121476228197e-07
-0.1959999999999996,2.88277003843286e-10,-0.1959999999999996,1.060530440854365e-09,-0.1959999999999996,3.881250478061817e-09,-0.1959999999999996,1.38915576620615e-08,-0.1959999999999996,4.635979490624661e-08,-0.1959999999999996,1.339434177286098e-07,-0.1959999999999996,3.218647745167472e-07,-0.1959999999999996,6.559211305227103e-07,-0.1959999999999996,6.559211305227103e-07,-0.1959999999999996,2.88277003843286e-10,-0.1959999999999996,1.060530440854365e-09,-0.1959999999999996,3.881250478061817e-09,-0.1959999999999996,1.38915576620615e-08,-0.1959999999999996,4.635979490624661e-08,-0.1959999999999996,3.218647745167472e-07,-0.1959999999999996,2.88277003843286e-10,-0.1959999999999996,1.339434177286098e-07
-0.1679999999999996,2.08337038656907e-10,-0.1679999999999996,7.668654584972486e-10,-0.1679999999999996,2.812515242486481e-09,-0.1679999999999996,1.01491553989322e-08,-0.1679999999999996,3.465918330494741e-08,-0.1679999999999996,1.0428552863013e-07,-0.1679999999999996,2.619971292733711e-07,-0.1679999999999996,5.537549449346338e-07,-0.1679999999999996,5.537549449346338e-07,-0.1679999999999996,2.08337038656907e-10,-0.1679999999999996,7.668654584972486e-10,-0.1679999999999996,2.812515242486481e-09,-0.1679999999999996,1.01491553989322e-08,-0.1679999999999996,3.465918330494741e-08,-0.1679999999999996,2.619971292733711e-07,-0.1679999999999996,2.08337038656907e-10,-0.1679999999999996,1.0428552863013e-07
