/TP0/D (Vm=0.1) X,/TP0/D (Vm=0.1) Y,/TP0/D (Vm=0.2333333) X,/TP0/D (Vm=0.2333333) Y,/TP0/D (Vm=0.3666667) X,/TP0/D (Vm=0.3666667) Y,/TP0/D (Vm=0.5) X,/TP0/D (Vm=0.5) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.3)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.3)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.4)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.4)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.5)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.5)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.2)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.2)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.1)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.1)) Y
-0.05599999999999958,5.870297230215069e-12,-0.05599999999999958,1.198557551078516e-10,-0.05599999999999958,2.427926767401939e-09,-0.05599999999999958,3.940897319794805e-08,-0.05599999999999958,1.198557551078516e-10,-0.05599999999999958,2.427926767401939e-09,-0.05599999999999958,3.940897319794805e-08,-0.05599999999999958,5.870297230215069e-12,-0.05599999999999958,5.870297230215069e-12
-0.02799999999999958,3.743299092139898e-12,-0.02799999999999958,7.670702994212776e-11,-0.02799999999999958,1.556135076425045e-09,-0.02799999999999958,2.563929538684836e-08,-0.02799999999999958,7.670702994212776e-11,-0.02799999999999958,1.556135076425045e-09,-0.02799999999999958,2.563929538684836e-08,-0.02799999999999958,3.743299092139898e-12,-0.02799999999999958,3.743299092139898e-12
0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,9.116440394886789e-16,0,9.116440394886789e-16,0,9.116440394886789e-16,0,9.116440394886789e-16,0,9.116440394886789e-16
0.028,-1.412738350689386e-11,0.028,-2.909986682297747e-10,0.028,-5.747182785912814e-09,0.028,-7.270329554482845e-08,0.028,2.909986682297747e-10,0.028,5.747182785912814e-09,0.028,7.270329554482845e-08,0.028,1.412738350689386e-11,0.028,1.412738350689386e-11
0.05599999999999999,-8.355081481365283e-11,0.05599999999999999,-1.715881252903714e-09,0.05599999999999999,-3.057346036438115e-08,0.05599999999999999,-2.519583923504792e-07,0.05599999999999999,1.715881252903714e-09,0.05599999999999999,3.057346036438115e-08,0.05599999999999999,2.519583923504792e-07,0.05599999999999999,8.355081481365283e-11,0.05599999999999999,8.355081481365283e-11
0.08399999999999999,-4.404478366975069e-10,0.08399999999999999,-8.799981506556326e-09,0.08399999999999999,-1.168575128242125e-07,0.08399999999999999,-5.906020942150382e-07,0.08399999999999999,8.799981506556326e-09,0.08399999999999999,1.168575128242125e-07,0.08399999999999999,5.906020942150382e-07,0.08399999999999999,4.404478366975069e-10,0.08399999999999999,4.404478366975069e-10
0.112,-2.292397315143817e-09,0.112,-4.055797490975348e-08,0.112,-3.29666985463417e-07,0.112,-1.126501597943758e-06,0.112,4.055797490975348e-08,0.112,3.29666985463417e-07,0.112,1.126501597943758e-06,0.112,2.292397315143817e-09,0.112,2.292397315143817e-09
0.14,-1.154590325268758e-08,0.14,-1.469213217239651e-07,0.14,-7.221465329881836e-07,0.14,-1.88198379805402e-06,0.14,1.469213217239651e-07,0.14,7.221465329881836e-07,0.14,1.88198379805402e-06,0.14,1.154590325268758e-08,0.14,1.154590325268758e-08
0.168,-5.162445099256835e-08,0.168,-3.941952127419809e-07,0.168,-1.326085495998717e-06,0.168,-2.868480580260329e-06,0.168,3.941952127419809e-07,0.168,1.326085495998717e-06,0.168,2.868480580260329e-06,0.168,5.162445099256835e-08,0.168,5.162445099256835e-08
0.196,-1.782190915835735e-07,0.196,-8.317206716351618e-07,0.196,-2.159423058505798e-06,0.196,-4.091151025758568e-06,0.196,8.317206716351618e-07,0.196,2.159423058505798e-06,0.196,4.091151025758568e-06,0.196,1.782190915835735e-07,0.196,1.782190915835735e-07
0.224,-4.5730686461877e-07,0.224,-1.488170035100964e-06,0.224,-3.232148948244949e-06,0.224,-5.54806782734536e-06,0.224,1.488170035100964e-06,0.224,3.232148948244949e-06,0.224,5.54806782734536e-06,0.224,4.5730686461877e-07,0.224,4.5730686461877e-07
0.252,-9.345467394450135e-07,0.252,-2.379728086604012e-06,0.252,-4.54934345263077e-06,0.252,-7.223282119742088e-06,0.252,2.379728086604012e-06,0.252,4.54934345263077e-06,0.252,7.223282119742088e-06,0.252,9.345467394450135e-07,0.252,9.345467394450135e-07
0.28,-1.636021592962245e-06,0.28,-3.51537362230951e-06,0.28,-6.112783292710883e-06,0.28,-9.091435953943074e-06,0.28,3.51537362230951e-06,0.28,6.112783292710883e-06,0.28,9.091435953943074e-06,0.28,1.636021592962245e-06,0.28,1.636021592962245e-06
0.3080000000000001,-2.576465892564799e-06,0.3080000000000001,-4.8995420755199e-06,0.3080000000000001,-7.921875876913077e-06,0.3080000000000001,-1.112670210220239e-05,0.3080000000000001,4.8995420755199e-06,0.3080000000000001,7.921875876913077e-06,0.3080000000000001,1.112670210220239e-05,0.3080000000000001,2.576465892564799e-06,0.3080000000000001,2.576465892564799e-06
0.3360000000000001,-3.763980375761633e-06,0.3360000000000001,-6.533563445731932e-06,0.3360000000000001,-9.974236829982716e-06,0.3360000000000001,-1.33040586783134e-05,0.3360000000000001,6.533563445731932e-06,0.3360000000000001,9.974236829982716e-06,0.3360000000000001,1.33040586783134e-05,0.3360000000000001,3.763980375761633e-06,0.3360000000000001,3.763980375761633e-06
0.3640000000000001,-5.202399332867424e-06,0.3640000000000001,-8.416526459537118e-06,0.3640000000000001,-1.226587135489799e-05,0.3640000000000001,-1.560088095856808e-05,0.3640000000000001,8.416526459537118e-06,0.3640000000000001,1.226587135489799e-05,0.3640000000000001,1.560088095856808e-05,0.3640000000000001,5.202399332867424e-06,0.3640000000000001,5.202399332867424e-06
