/TP0/D (Vm=0.1) X,/TP0/D (Vm=0.1) Y,/TP0/D (Vm=0.2) X,/TP0/D (Vm=0.2) Y,/TP0/D (Vm=0.3) X,/TP0/D (Vm=0.3) Y,/TP0/D (Vm=0.4) X,/TP0/D (Vm=0.4) Y,/TP0/D (Vm=0.5) X,/TP0/D (Vm=0.5) Y
0.4200000000000002,-8.833294385172579e-06,0.4200000000000002,-1.182607096509658e-05,0.4200000000000002,-1.520726920777735e-05,0.4200000000000002,-1.857110377909128e-05,0.4200000000000002,-2.047303184088891e-05
0.4480000000000002,-1.102159314173945e-05,0.4480000000000002,-1.433263049547693e-05,0.4480000000000002,-1.801200123551817e-05,0.4480000000000002,-2.142158232662344e-05,0.4480000000000002,-2.301001810561054e-05
0.4760000000000002,-1.345336546811569e-05,0.4760000000000002,-1.707435962884745e-05,0.4760000000000002,-2.102974728479333e-05,0.4760000000000002,-2.433254598137921e-05,0.4760000000000002,-2.558869132473402e-05
0.5040000000000002,-1.612353763807837e-05,0.5040000000000002,-2.004527923286019e-05,0.5040000000000002,-2.422818058093664e-05,0.5040000000000002,-2.725452973751001e-05,0.5040000000000002,-2.818900588744244e-05
0.5320000000000003,-1.902631006133191e-05,0.5320000000000003,-2.323860017262439e-05,0.5320000000000003,-2.756541318422394e-05,0.5320000000000003,-3.014783210614471e-05,0.5320000000000003,-3.079374770228328e-05
0.5600000000000003,-2.215532794699612e-05,0.5600000000000003,-2.664313130048302e-05,0.5600000000000003,-3.097081445773323e-05,0.5600000000000003,-3.298559482540114e-05,0.5600000000000003,-3.339442900813874e-05
0.5880000000000003,-2.550380890540021e-05,0.5880000000000003,-3.022957240357518e-05,0.5880000000000003,-3.434857404895209e-05,0.5880000000000003,-3.576187035391804e-05,0.5880000000000003,-3.599750880884409e-05
0.6160000000000003,-2.906456799765795e-05,0.6160000000000003,-3.396155465414609e-05,0.6160000000000003,-3.761176836212065e-05,0.6160000000000003,-3.849698254540678e-05,0.6160000000000003,-3.862228440832429e-05
0.6440000000000003,-3.282900784304943e-05,0.6440000000000003,-3.778209556564239e-05,0.6440000000000003,-4.072659937768501e-05,0.6440000000000003,-4.122702379666465e-05,0.6440000000000003,-4.129010279327139e-05
0.6720000000000004,-3.677715395396257e-05,0.6720000000000004,-4.159865916052728e-05,0.6720000000000004,-4.372346742707643e-05,0.6720000000000004,-4.39854773143814e-05,0.6720000000000004,-4.401627189213823e-05
0.7,-4.087140584654589e-05,0.7,-4.530123295293222e-05,0.7,-4.666364203232326e-05,0.7,-4.679441354096959e-05,0.7,-4.680921431199644e-05
