/TP0/D (Vdiff=0.9) X,/TP0/D (Vdiff=0.9) Y,/TP0/D (Vdiff=1) X,/TP0/D (Vdiff=1) Y,/TP0/D (Vdiff=1.1) X,/TP0/D (Vdiff=1.1) Y,/TP0/D (Vdiff=1.2) X,/TP0/D (Vdiff=1.2) Y,/TP0/D (Vdiff=1.3) X,/TP0/D (Vdiff=1.3) Y,/TP0/D (Vdiff=1.4) X,/TP0/D (Vdiff=1.4) Y,/TP0/D (Vdiff=1.5) X,/TP0/D (Vdiff=1.5) Y,/TP0/D (Vdiff=1.6) X,/TP0/D (Vdiff=1.6) Y,/TP0/D (Vdiff=1.7) X,/TP0/D (Vdiff=1.7) Y
-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,2.005669485688102e-09
-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.453211807389128e-09
-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,1.052382222969471e-09
-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.617838063023726e-10
-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.512183073960383e-10
-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.987065226166798e-10
-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.882770331314928e-10
-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.083370595888696e-10
-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.504783008071343e-10
-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.086043832250469e-10
