abs(i("/TP1/D" ?result "dc")) (sc=0.9) X,abs(i("/TP1/D" ?result "dc")) (sc=0.9) Y,abs(i("/TP1/D" ?result "dc")) (sc=1) X,abs(i("/TP1/D" ?result "dc")) (sc=1) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.1) X,abs(i("/TP1/D" ?result "dc")) (sc=1.1) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.2) X,abs(i("/TP1/D" ?result "dc")) (sc=1.2) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.3) X,abs(i("/TP1/D" ?result "dc")) (sc=1.3) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.4) X,abs(i("/TP1/D" ?result "dc")) (sc=1.4) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.5) X,abs(i("/TP1/D" ?result "dc")) (sc=1.5) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.6) X,abs(i("/TP1/D" ?result "dc")) (sc=1.6) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.7) X,abs(i("/TP1/D" ?result "dc")) (sc=1.7) Y
-0.1999999999999999,1.03440477095911e-10,-0.1999999999999999,3.026216874282163e-10,-0.1999999999999999,8.840241129849253e-10,-0.1999999999999999,2.575869845475699e-09,-0.1999999999999999,7.447913174142471e-09,-0.1999999999999999,2.10512145218732e-08,-0.1999999999999999,5.63461666923013e-08,-0.1999999999999999,1.369098646719483e-07,-0.1999999999999999,2.941330928680213e-07
-0.1499999999999999,7.256367727492037e-11,-0.1499999999999999,2.128809337630487e-10,-0.1499999999999999,6.236014582154509e-10,-0.1499999999999999,1.823159340458745e-09,-0.1499999999999999,5.300444562059377e-09,-0.1499999999999999,1.514733344121716e-08,-0.1499999999999999,4.141462541733915e-08,-0.1499999999999999,1.038808890353216e-07,-0.1499999999999999,2.310267242125626e-07
-0.09999999999999991,5.02118172395226e-11,-0.09999999999999991,1.476852322956588e-10,-0.09999999999999991,4.336884756373262e-10,-0.09999999999999991,1.271459227229973e-09,-0.09999999999999991,3.712089685154638e-09,-0.09999999999999991,1.069641942602168e-08,-0.09999999999999991,2.973483988705636e-08,-0.09999999999999991,7.657831525677247e-08,-0.09999999999999991,1.753222430265415e-07
-0.04999999999999991,3.137927285033446e-11,-0.04999999999999991,9.248583599468641e-11,-0.04999999999999991,2.720981213346712e-10,-0.04999999999999991,7.992047384376286e-10,-0.04999999999999991,2.338955519452008e-09,-0.04999999999999991,6.768589419488254e-09,-0.04999999999999991,1.896839299918154e-08,-0.04999999999999991,4.938666555259379e-08,-0.04999999999999991,1.136106850523578e-07
0,2.210046166842076e-16,0,1.666266800041185e-16,0,1.238836081898002e-16,0,9.061744627197949e-17,0,6.496132606773468e-17,0,4.530979599679262e-17,0,3.027150862518e-17,0,1.858329280412176e-17,0,9.058331473992875e-18
0.05,1.055367344488028e-10,0.05,3.111445499957808e-10,0.05,9.138082507349809e-10,0.05,2.667090347562301e-09,0.05,7.668188587099677e-09,0.05,2.122487399523634e-08,0.05,5.41735711055719e-08,0.05,1.215451864202097e-07,0.05,2.350152194559532e-07
0.1,5.673493994437125e-10,0.1,1.66583800134452e-09,0.1,4.843266783233772e-09,0.1,1.378179909208807e-08,0.1,3.73592512328282e-08,0.1,9.2516254302683e-08,0.1,2.021428463361868e-07,0.1,3.870344873210314e-07,0.1,6.59238544685084e-07
0.15,2.739073619760148e-09,0.15,7.922469625802669e-09,0.15,2.219297172338817e-08,0.15,5.824002265246862e-08,0.15,1.375029875015022e-07,0.15,2.85845518114431e-07,0.15,5.264259337891873e-07,0.15,8.758345686795998e-07,0.15,1.343467022944794e-06
0.2,1.272585768682237e-08,0.2,3.491389191933496e-08,0.2,8.800994376225931e-08,0.2,1.96912371567414e-07,0.2,3.880143760025147e-07,0.2,6.836544810547006e-07,0.2,1.100802669605028e-06,0.2,1.651540997458292e-06,0.2,2.343699899842643e-06
0.25,5.385393889061715e-08,0.25,1.296117420711833e-07,0.25,2.74412770031863e-07,0.25,5.136125197617201e-07,0.25,8.675474752300428e-07,0.25,1.351910330330119e-06,0.25,1.978900809250498e-06,0.25,2.757953824122873e-06,0.25,3.696241171402094e-06
