Vmem X,Vmem Y,Vout X,Vout Y
-0.0002249999995811032,3.510194373413058e-10,-0.0002249999995811032,8.694450637467454e-10
-0.0002249999995731613,3.361785278215175e-10,-0.0002249999995731613,8.790109962337274e-10
-0.0002249999995652471,3.212019782528968e-10,-0.0002249999995652471,8.884964656592716e-10
-0.0002249999995573515,3.061105583140598e-10,-0.0002249999995573515,8.979242975140641e-10
-0.0002249999995494662,2.90925842233293e-10,-0.0002249999995494662,9.073142935334589e-10
-0.0002249999995415833,2.756674376280615e-10,-0.0002249999995415833,9.166853932724101e-10
-0.0002249999995336951,2.60352898089525e-10,-0.0002249999995336951,9.260552653590953e-10
-0.000224999999525794,2.450022722817168e-10,-0.000224999999525794,9.354429383983549e-10
-0.0002249999995178726,2.296329015191027e-10,-0.0002249999995178726,9.448639648106343e-10
-0.0002249999995099238,2.142620648292519e-10,-0.0002249999995099238,9.543363164518631e-10
-0.0002249999995019399,1.989072797900385e-10,-0.0002249999995019399,9.638789160614154e-10
-0.0002249999994939134,1.835862658628556e-10,-0.0002249999994939134,9.735082166596981e-10
-0.0002249999994858366,1.683145161915313e-10,-0.0002249999994858366,9.832414246205514e-10
-0.0002249999994777015,1.531095970820181e-10,-0.0002249999994777015,9.930964383191523e-10
-0.0002249999994694994,1.379885754662286e-10,-0.0002249999994694994,1.00309217461161e-09
-0.0002249999994612217,1.22966836950191e-10,-0.0002249999994612217,1.01324877957864e-09
-0.0002249999994528584,1.080637720667405e-10,-0.0002249999994528584,1.023586541458904e-09
-0.0002249999994443996,9.329501070465334e-11,-0.0002249999994443996,1.034128720032116e-09
-0.0002249999994358339,7.867809380807297e-11,-0.0002249999994358339,1.044896684677224e-09
-0.0002249999994271488,6.423181760501337e-11,-0.0002249999994271488,1.055919188954653e-09
-0.0002249999994183308,4.997485038936347e-11,-0.0002249999994183308,1.067221255170129e-09
-0.0002249999994093638,3.592515918092225e-11,-0.0002249999994093638,1.07883543280704e-09
-0.0002249999994002298,2.210187366840106e-11,-0.0002249999994002298,1.090798092000271e-09
-0.0002249999993909081,8.52491478296216e-12,-0.0002249999993909081,1.103149508725878e-09
-0.0002249999993813749,-4.784390449206858e-12,-0.0002249999993813749,1.115934189380767e-09
