dB20(mag(VF("/net017"))) X,dB20(mag(VF("/net017"))) Y,dB20(mag(VF("/net016"))) X,dB20(mag(VF("/net016"))) Y,dB20(mag(VF("/I73/net15"))) X,dB20(mag(VF("/I73/net15"))) Y,dB20(mag(VF("/I73/net14"))) X,dB20(mag(VF("/I73/net14"))) Y
20892.96130854041,185.0787067077789,20892.96130854041,189.0527487628306,20892.96130854041,167.0147496438015,20892.96130854041,208.945041195683
25118.86431509582,176.887711774687,25118.86431509582,180.8615513515057,25118.86431509582,160.0162092773875,25118.86431509582,200.7538454487189
30199.51720402019,170.0131259109208,30199.51720402019,173.9866643546175,30199.51720402019,154.435330913254,30199.51720402019,193.8789606368559
36307.80547701017,164.0171606869166,36307.80547701017,167.9902539008532,36307.80547701017,149.8138446706541,36307.80547701017,187.8825529813355
43651.58322401663,158.4936538358028,43651.58322401663,162.4660928408661,43651.58322401663,145.7268266645551,43651.58322401663,182.3583954216952
52480.74602497731,153.2412364224046,52480.74602497731,157.2127192811479,52480.74602497731,141.9570672951443,52480.74602497731,177.1050261678628
63095.73444801939,148.1541035780011,63095.73444801939,152.1241944349379,63095.73444801939,138.3861094492028,63095.73444801939,172.0165065976468
75857.75750291845,143.1720267841405,75857.75750291845,147.1400959394609,75857.75750291845,134.9439814826522,75857.75750291845,167.0324146477364
91201.08393559107,138.2579098462284,91201.08393559107,142.2230460922002,91201.08393559107,131.5862237750058,91201.08393559107,162.115373140491
109647.8196143186,133.386838806101,109647.8196143186,137.3477211640171,109647.8196143186,128.2823628234331,109647.8196143186,157.2400591964353
131825.6738556409,128.5404445483048,131825.6738556409,132.4951543109777,131825.6738556409,125.0097312488875,131825.6738556409,152.3875072607203
158489.3192461116,123.7040336660518,158489.3192461116,127.6497783077024,158489.3192461116,121.7501179165746,158489.3192461116,147.5421519862595
190546.071796325,118.8651924650439,190546.071796325,122.7978993224609,190546.071796325,118.487937581607,190546.071796325,142.690302217951
229086.7652767776,114.0130241686818,229086.7652767776,117.9267426406235,229086.7652767776,115.2090523866832,229086.7652767776,137.8191870016927
275422.870333817,109.1375610398317,275422.870333817,113.0235870758506,275422.870333817,111.8997460605427,275422.870333817,132.916090352598
331131.1214825916,104.2293277871115,331131.1214825916,108.0749358916854,331131.1214825916,108.5457932825719,331131.1214825916,127.9675225375145
398107.1705534978,99.2794032059882,398107.1705534978,103.0660468769224,398107.1705534978,105.1319474146794,398107.1705534978,122.9587502729851
478630.092322639,94.28047766516615,478630.092322639,97.9813190426956,478630.092322639,101.6423647346351,478630.092322639,117.87418258833
575439.9373371578,89.22930076020782,575439.9373371578,92.80600296692867,575439.9373371578,98.06247654170143,575439.9373371578,112.6990774085164
691830.9709189376,84.13036763837093,691830.9709189376,87.5293380071281,691830.9709189376,94.38249787083252,691830.9709189376,107.4226669135128
831763.7711026723,78.99953955693215,831763.7711026723,82.14843114798414,831763.7711026723,90.6020274125358,831763.7711026723,102.0420033951239
1000000,73.86471561667047,1000000,76.67109963701681,1000000,86.73418202261246,1000000,96.56471581953454
