net021 X,net021 Y,net020 X,net020 Y
0.004000000000161845,2.115938743007003e-08,0.004000000000161845,2.12143169253585e-08
0.004000000000166658,2.11643617347965e-08,0.004000000000166658,2.122058140042328e-08
0.004000000000173188,2.117101662171155e-08,0.004000000000173188,2.122895342577271e-08
0.004000000000180379,2.117823455422423e-08,0.004000000000180379,2.123802046254726e-08
0.004000000000194685,2.119217901029254e-08,0.004000000000194685,2.125549141404001e-08
0.004000000000199956,2.11972594943176e-08,0.004000000000199956,2.126185090072742e-08
0.004000000000201471,2.119871753934469e-08,0.004000000000201471,2.126367508015512e-08
0.0040000000002045,2.120162418692327e-08,0.0040000000002045,2.126731173663353e-08
0.004000000000210557,2.12073876380459e-08,0.004000000000210557,2.12745155027541e-08
0.004000000000216692,2.121314945731472e-08,0.004000000000216692,2.128171148042083e-08
